"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5146","search()","","2025-12-02","broken","2025-12-02","","iscteiul.ista.seleniumtests.MainPageTest","iscteiul.ista.seleniumtests.MainPageTest","search"
"","3980","testInvalidLogin()","","2025-12-02","passed","2025-12-02","","iscteiul.ista.seleniumtests.FormAuthenticationTest","iscteiul.ista.seleniumtests.FormAuthenticationTest","testInvalidLogin"
"","4269","testCheckboxes()","","2025-12-02","passed","2025-12-02","","iscteiul.ista.seleniumtests.DropdownTest","iscteiul.ista.seleniumtests.DropdownTest","testCheckboxes"
"","4245","testSuccessfulFileUpload()","","2025-12-02","passed","2025-12-02","","iscteiul.ista.seleniumtests.FileUploadPageTest","iscteiul.ista.seleniumtests.FileUploadPageTest","testSuccessfulFileUpload"
"","7612","testSamplerIconInteraction()","","2025-12-02","passed","2025-12-02","","Sampler_BasicFeatures.tests.SamplerBasicFeaturesTest","Sampler_BasicFeatures.tests.SamplerBasicFeaturesTest","testSamplerIconInteraction"
"","2423","testDataInputInteraction()","","2025-12-02","passed","2025-12-02","","sampler_datainput.SamplerDataInputTest","sampler_datainput.SamplerDataInputTest","testDataInputInteraction"
"","4604","toolsMenu()","","2025-12-02","broken","2025-12-02","","iscteiul.ista.seleniumtests.MainPageTest","iscteiul.ista.seleniumtests.MainPageTest","toolsMenu"
"","3745","testNumberInputWithArrowKeys()","","2025-12-02","passed","2025-12-02","","iscteiul.ista.seleniumtests.InputsTest","iscteiul.ista.seleniumtests.InputsTest","testNumberInputWithArrowKeys"
"","4788","testValidLogin()","","2025-12-02","passed","2025-12-02","","iscteiul.ista.seleniumtests.FormAuthenticationTest","iscteiul.ista.seleniumtests.FormAuthenticationTest","testValidLogin"
"","3394","testNumberInput()","","2025-12-02","passed","2025-12-02","","iscteiul.ista.seleniumtests.InputsTest","iscteiul.ista.seleniumtests.InputsTest","testNumberInput"
"","4509","testCheckboxes()","","2025-12-02","passed","2025-12-02","","iscteiul.ista.seleniumtests.CheckboxesTest","iscteiul.ista.seleniumtests.CheckboxesTest","testCheckboxes"
"","8482","testDynamicLoading()","","2025-12-02","passed","2025-12-02","","iscteiul.ista.seleniumtests.DynamicLoadingTest","iscteiul.ista.seleniumtests.DynamicLoadingTest","testDynamicLoading"
"","4953","navigationToAllTools()","","2025-12-02","broken","2025-12-02","","iscteiul.ista.seleniumtests.MainPageTest","iscteiul.ista.seleniumtests.MainPageTest","navigationToAllTools"
